ShortName,Variable,LongName,Source
P9,APAC.FOS.BREW.FM.UT074.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT073.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT072.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT071.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT070.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT069.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT068.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT067.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT066.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT065.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT064.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT063.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT062.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT061.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT060.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT059.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT058.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT057.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT056.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT055.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT054.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT053.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT052.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT051.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT050.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT049.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT048.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT047.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT046.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT045.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT044.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT043.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT042.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT041.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT040.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT039.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT038.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT037.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT036.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT035.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT034.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT033.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT032.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT031.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT030.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT029.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT028.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT027.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT026.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT025.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT024.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT023.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT022.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT021.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT020.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT019.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT018.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT017.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT016.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT015.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT014.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT013.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT012.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT011.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT010.PI04,TSM,Historian
